station,timestamp_utc,air_temperature_c,relative_humidity_pct,dew_point_c,rain_mm,wind_direction_deg,solar_radiation_w_m2,battery_v,wind_speed_kmh,wind_gust_speed_kmh
cavendish,2024-04-05 21:00:00+00:00,4.501333333333333,94.28333333333333,3.665,0.0,114.0,32.93333333333333,4.305666666666666,8.9,14.966666666666667
cavendish,2024-04-05 22:00:00+00:00,3.7876666666666665,94.93,3.051,0.0,114.0,9.833333333333334,4.289916666666667,8.833333333333334,15.5
cavendish,2024-04-05 23:00:00+00:00,3.2886666666666664,95.80333333333333,2.685,0.0,118.0,1.0,4.25275,8.266666666666667,14.0
cavendish,2024-04-06 00:00:00+00:00,3.2150000000000003,96.38666666666667,2.697666666666667,0.0,139.0,1.0,4.2363333333333335,4.566666666666666,7.466666666666667
cavendish,2024-04-06 01:00:00+00:00,2.3763333333333336,97.14666666666668,1.9693333333333334,0.0,117.0,1.0,4.225833333333333,3.6333333333333333,6.666666666666667
cavendish,2024-04-06 02:00:00+00:00,1.7436666666666667,97.75333333333333,1.424,0.0,145.0,1.0,4.21675,4.5,8.2
cavendish,2024-04-06 03:00:00+00:00,1.89,98.08,1.6179999999999999,0.0,114.0,1.0,4.210833333333333,6.366666666666666,11.3
cavendish,2024-04-06 04:00:00+00:00,1.853,98.34333333333333,1.6176666666666668,0.0,114.0,1.0,4.204583333333333,6.366666666666666,11.2
cavendish,2024-04-06 05:00:00+00:00,1.2186666666666668,98.44333333333334,0.998,0.4,76.0,1.0,4.200833333333333,9.066666666666666,15.6
cavendish,2024-04-06 06:00:00+00:00,0.5776666666666667,98.63666666666667,0.38566666666666666,0.4,91.0,1.0,4.196583333333334,7.966666666666667,14.6
cavendish,2024-04-06 07:00:00+00:00,0.47200000000000003,98.83999999999999,0.3063333333333333,0.6000000000000001,108.0,1.0,4.192166666666666,6.833333333333333,11.933333333333334
cavendish,2024-04-06 08:00:00+00:00,0.396,99.00666666666666,0.253,0.2,83.0,1.0,4.19025,4.866666666666666,8.1
cavendish,2024-04-06 09:00:00+00:00,0.5186666666666667,99.18666666666667,0.40099999999999997,0.0,110.0,1.1,4.189333333333333,5.033333333333333,9.0
cavendish,2024-04-06 10:00:00+00:00,0.5623333333333334,99.17666666666668,0.443,0.0,81.0,11.8,4.2437499999999995,6.2,11.4
cavendish,2024-04-06 11:00:00+00:00,0.5416666666666666,98.87666666666668,0.383,0.0,83.0,32.93333333333333,4.3045,8.366666666666667,15.633333333333333
cavendish,2024-04-06 12:00:00+00:00,0.7716666666666666,97.99,0.48666666666666664,0.0,83.0,61.6,4.3077499999999995,9.866666666666667,17.5
cavendish,2024-04-06 13:00:00+00:00,0.8576666666666667,97.16000000000001,0.45566666666666666,0.0,79.0,77.26666666666667,4.311583333333333,11.5,20.466666666666665
cavendish,2024-04-06 14:00:00+00:00,1.1256666666666666,96.55666666666666,0.6376666666666666,0.0,80.0,129.53333333333333,4.311833333333333,11.366666666666667,19.566666666666666
cavendish,2024-04-06 15:00:00+00:00,1.4646666666666666,96.31333333333333,0.9396666666666668,0.0,87.0,226.23333333333332,4.311416666666667,11.866666666666667,21.133333333333333
cavendish,2024-04-06 16:00:00+00:00,2.0386666666666664,95.69666666666667,1.422,0.0,80.0,336.93333333333334,4.312083333333333,13.2,23.1
cavendish,2024-04-06 17:00:00+00:00,1.8266666666666667,94.71333333333334,1.068,0.0,58.0,229.3,4.3084999999999996,12.933333333333334,22.633333333333333
cavendish,2024-04-06 18:00:00+00:00,1.4246666666666667,94.89333333333335,0.6940000000000001,0.0,69.0,146.93333333333334,4.310666666666666,12.366666666666667,22.2
cavendish,2024-04-06 19:00:00+00:00,1.1473333333333333,95.23666666666666,0.46900000000000003,0.0,69.0,105.9,4.308,12.733333333333333,21.966666666666665
cavendish,2024-04-06 20:00:00+00:00,1.088,95.28999999999999,0.41766666666666663,0.0,79.0,77.76666666666667,4.3095,11.366666666666667,20.2
cavendish,2024-04-06 21:00:00+00:00,0.7946666666666666,95.78999999999999,0.19666666666666668,0.0,73.0,38.7,4.307166666666666,12.6,21.7
cavendish,2024-04-06 22:00:00+00:00,0.5873333333333334,96.38666666666667,0.07600000000000001,0.0,70.0,4.466666666666667,4.283,10.566666666666666,18.633333333333333
cavendish,2024-04-06 23:00:00+00:00,0.513,96.98333333333333,0.08866666666666667,0.0,65.0,1.0,4.2455,10.833333333333334,19.033333333333335
cavendish,2024-04-07 00:00:00+00:00,0.5429999999999999,97.1,0.13266666666666665,0.0,66.0,1.0,4.229583333333333,11.7,20.633333333333333
cavendish,2024-04-07 01:00:00+00:00,0.527,97.01666666666667,0.10466666666666667,0.0,79.0,1.0,4.218166666666667,12.033333333333333,20.6
cavendish,2024-04-07 02:00:00+00:00,0.504,97.19666666666667,0.10966666666666666,0.0,73.0,1.0,4.210999999999999,12.466666666666667,22.5
cavendish,2024-04-07 03:00:00+00:00,0.487,97.47333333333333,0.129,0.0,86.0,1.0,4.20525,10.6,18.6
cavendish,2024-04-07 04:00:00+00:00,0.47866666666666663,97.94,0.18866666666666668,0.0,70.0,1.0,4.199416666666667,12.766666666666667,22.366666666666667
cavendish,2024-04-07 05:00:00+00:00,0.526,97.91666666666667,0.23033333333333333,0.0,70.0,1.0,4.195749999999999,13.1,22.866666666666667
cavendish,2024-04-07 06:00:00+00:00,0.6493333333333333,97.66666666666667,0.31933333333333336,0.0,70.0,1.0,4.192666666666667,13.8,24.166666666666668
cavendish,2024-04-07 07:00:00+00:00,0.627,97.42333333333335,0.26266666666666666,0.0,67.0,1.0,4.190166666666666,12.766666666666667,23.066666666666666
cavendish,2024-04-07 08:00:00+00:00,0.5426666666666667,97.43666666666667,0.18166666666666667,0.0,70.0,1.0,4.187916666666667,12.733333333333333,22.7
cavendish,2024-04-07 09:00:00+00:00,0.7223333333333333,97.16000000000001,0.32066666666666666,0.0,65.0,1.7666666666666666,4.1905833333333335,11.766666666666667,20.633333333333333
cavendish,2024-04-07 10:00:00+00:00,1.0483333333333333,95.74333333333334,0.4436666666666667,0.0,65.0,48.5,4.28225,12.966666666666667,21.733333333333334
