station,timestamp_utc,check_type,variable,original_value,action,rule
stanhope,2023-05-04T05:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-05-04T06:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-05-04T07:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-05-04T08:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-05-04T09:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-05-26T03:00:00+00:00,flatline,relative_humidity_pct,99.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-03T12:00:00+00:00,flatline,relative_humidity_pct,95.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-04T01:00:00+00:00,flatline,relative_humidity_pct,97.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-04T02:00:00+00:00,flatline,relative_humidity_pct,97.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-04T03:00:00+00:00,flatline,relative_humidity_pct,97.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-04T04:00:00+00:00,flatline,relative_humidity_pct,97.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-05T07:00:00+00:00,flatline,relative_humidity_pct,97.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-06T03:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-06T04:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-06T05:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-06T06:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-10T01:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-10T02:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-10T03:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-10T04:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-10T05:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-10T06:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-10T07:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-11T03:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-15T05:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-15T06:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-16T07:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-16T08:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-18T03:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-18T04:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-18T05:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-18T06:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-18T07:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-18T08:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-18T09:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-18T10:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-19T01:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-19T02:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-19T03:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-19T04:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-19T05:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-19T06:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-19T07:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-21T06:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-26T07:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-06-30T06:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-07-04T00:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
